"Campaign","id_site","DOY","MM","MI","alpha"
"2021","27",261,0.341,53,0.00147115384615385
"2022","27",261,0.244,56,0.00106829268292683
"2017","25",261,0.201,42,0.000821917808219178
"2018","25",261,0.25,26,0.000953191489361702
"2019","25",261,0.334,-25,0.00104545454545455
"2020","25",261,0.485,38,0.00195515695067265
"2021","25",261,0.43,-39,0.00128666666666667
"2022","25",261,0.211,-80,0.00055425219941349
"2016","29",261,0.649,-49,0.0018741935483871
"2017","29",261,0.502,-62,0.00139628482972136
"2018","29",261,0.425,-84,0.00110724637681159
"2020","29",261,0.368,-43,0.00108881578947368
"2022","29",261,0.289,-40,0.000863787375415282
"2016","30",261,0.837,-12,0.00275824175824176
"2017","30",261,0.689,-58,0.00194043887147335
"2018","30",261,0.738,-16,0.00239350180505415
"2019","30",261,0.773,50,0.00328436018957346
"2020","30",261,0.897,41,0.00366818181818182
"2020","1",261,0.926,-19,0.00296785714285714
"2021","1",261,0.602,125,0.00396323529411765
"2022","1",261,0.235,27,0.000897435897435897
"2005","8",261,0.28,72,0.00132804232804233
"2006","8",261,0.099,-41,0.000291390728476821
"2007","8",261,0.255,18,0.000888888888888889
"2008","8",261,0.155,60,0.000691542288557214
"2010","8",261,0.078,-36,0.000232323232323232
"2011","8",261,0.265,68,0.00123316062176166
"2012","8",261,0.388,38,0.00155156950672646
"2013","8",261,0.179,91,0.000935294117647059
"2014","8",261,0.072,18,0.000263374485596708
"2015","8",261,0.075,160,0.000663366336633663
"2016","8",261,0.45,-48,0.0013042071197411
"2017","8",261,0.12,39,0.000481981981981982
"2018","8",261,0.196,-24,0.000617543859649123
"2019","8",261,0.277,64,0.00126395939086294
"2020","8",261,0.26,62,0.00117085427135678
"2021","8",261,0.288,8,0.00101581027667984
"2022","8",261,0.207,22,0.000774058577405858
"2017","36",261,0.117,39,0.000472972972972973
"2018","36",261,0.26,14,0.000939271255060729
"2020","36",261,0.228,67,0.00105670103092783
"2021","36",261,0.129,106,0.000748387096774193
"2022","36",261,0.108,6,0.000380392156862745
"2014","26",261,0.073,42,0.000296803652968037
"2015","26",261,0.132,220,0.00282926829268293
"2016","26",261,0.237,39,0.000954954954954955
"2017","26",261,0.358,71,0.00168947368421053
"2018","26",261,0.411,88,0.00212138728323699
"2019","26",261,0.167,56,0.000731707317073171
"2020","26",261,0.51,107,0.00297402597402597
"2021","26",261,0.094,68,0.000435233160621762
"2022","26",261,0.102,57,0.000446078431372549
"2005","13",261,0.565,3,0.00196124031007752
"2006","13",261,0.116,-39,0.000343333333333333
"2007","13",261,0.423,35,0.00168141592920354
"2008","13",261,0.093,-49,0.000267741935483871
"2009","13",261,0.265,-8,0.000877323420074349
"2010","13",261,0.305,3,0.00105426356589147
"2011","13",261,0.081,101,0.00045
"2012","13",261,0.195,-50,0.000559485530546624
"2013","13",261,0.152,9,0.00053968253968254
"2014","13",261,0.081,94,0.000431137724550898
"2015","13",261,0.198,39,0.000792792792792793
"2016","13",261,0.501,-51,0.00144230769230769
"2017","13",261,0.035,-17,0.000111510791366906
"2018","13",261,0.391,41,0.00158636363636364
"2019","13",261,0.18,6,0.000631372549019608
"2020","13",261,0.255,65,0.00115816326530612
"2021","13",261,0.294,47,0.00122429906542056
"2022","13",261,0.224,-22,0.000706713780918728
"2015","38",261,0.303,102,0.00170440251572327
"2016","38",261,0.822,52,0.00352631578947368
"2017","38",261,0.209,-19,0.000667857142857143
"2018","38",261,0.294,-76,0.000780415430267062
"2022","2",261,0.261,77,0.00127173913043478
"2005","7",261,0.521,127,0.00346268656716418
"2006","7",261,0.053,-32,0.000160409556313993
"2008","7",261,0.088,-114,0.000210666666666667
"2010","7",261,0.05,35,0.000172566371681416
"2011","7",261,0.053,19,0.000194214876033058
"2012","7",261,0.102,-48,0.000294498381877023
"2013","7",261,0.068,-101,0.000165745856353591
"2014","7",261,0.105,157,0.000894230769230769
"2015","7",261,0.382,138,0.00275609756097561
"2016","7",261,0.61,-40,0.00180066445182724
"2017","7",261,0.066,101,0.0003625
"2018","7",261,0.126,-75,0.000336309523809524
"2019","7",261,0.331,76,0.00160540540540541
"2020","7",261,0.181,-60,0.000504672897196262
"2021","7",261,0.625,-68,0.00170212765957447
"2022","7",261,0.195,-39,0.00058
"2014","16",261,0.084,139,0.00060655737704918
"2015","16",261,0.096,-72,0.000258258258258258
"2016","16",261,0.128,-20,0.000405693950177936
"2017","16",261,0.31,-122,0.000697127937336815
"2018","16",261,0.264,-122,0.000608355091383812
"2019","16",261,0.163,112,0.000973154362416107
"2020","16",261,0.079,62,0.000351758793969849
"2021","16",261,0.099,99,0.000549382716049383
"2022","16",261,0.146,-47,0.000425324675324675
"2014","39",261,0.529,86,0.00272
"2015","39",261,0.125,81,0.000622222222222222
"2016","39",261,0.581,21,0.002175
"2017","39",261,0.122,80,0.000596685082872928
"2018","39",261,0.208,-94,0.000523943661971831
"2019","39",261,0.423,64,0.00192893401015228
"2020","39",261,0.316,89,0.0016453488372093
"2021","39",261,0.12,152,0.000981651376146789
