"Site","Date","spat_year","alive_nb","dead_nb","init_nb","Batch","site_spat","Specie","Support","Operator","Comments","Campaign","MR"
"Pont_Mahe",2022-09-13,2021,181,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Pont_Mahe",2022-10-10,2021,174,7,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2021-10-10,2021,185,0,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-01-06,2021,179,6,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-02-17,2021,176,3,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-03-21,2021,175,1,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-04-19,2021,172,1,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-05-17,2021,163,8,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-07-13,2021,129,3,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-08-11,2021,128,0,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-10-10,2021,124,3,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-11-23,2021,121,2,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Vivier",2022-12-22,2021,118,2,185,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2022,NA
"Agon",2020-11-13,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-01-13,2020,195,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-02-15,2020,192,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-03-29,2020,186,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-04-26,2020,155,28,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-05-26,2020,147,7,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-06-24,2020,130,7,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-07-26,2020,122,5,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-08-24,2020,116,6,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-09-21,2020,106,6,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-10-07,2020,103,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-11-04,2020,98,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2021-12-06,2020,94,4,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2020-11-13,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-02-10,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-03-01,2020,199,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-04-01,2020,198,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-05-12,2020,198,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-06-24,2020,187,11,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-08-10,2020,184,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-09-08,2020,182,2,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-10-07,2020,179,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-11-03,2020,172,7,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Aiguillon",2021-12-07,2020,168,4,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2020-11-13,2020,200,0,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-01-15,2020,201,1,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-02-11,2020,200,0,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-03-31,2020,199,1,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-04-29,2020,198,2,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-05-27,2020,193,5,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-06-28,2020,189,2,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-07-27,2020,186,2,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-08-24,2020,183,3,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-09-21,2020,177,4,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-10-08,2020,177,0,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Pont_Mahe",2021-11-18,2020,176,1,202,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2020-11-13,2020,200,0,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-02-01,2020,200,1,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-03-29,2020,195,0,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-04-24,2020,194,2,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-05-10,2020,189,2,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-06-24,2020,177,7,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-07-27,2020,173,4,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-08-10,2020,171,2,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-09-09,2020,169,1,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-10-07,2020,167,0,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-11-03,2020,167,0,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Vivier",2021-12-31,2020,165,0,201,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2020-11-13,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-02-10,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-03-01,2020,200,0,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-04-15,2020,199,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-06-24,2020,193,6,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-07-26,2020,182,11,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-08-10,2020,179,3,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-09-08,2020,177,2,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-11-08,2020,176,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Yves",2021-12-07,2020,175,1,200,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2021,NA
"Agon",2013-12-03,2013,108,0,108,"NA","Pertuis_Breton","Edulis","bag","Operator_1","NA",2014,NA
