Site;Annee;morta instantané;morta cumulé;morta instantané perceurs;Date;Remarque;Sous-site
La Plaine-sur-Mer;2016;0;0;0;04/10/2016;Mise en poche;NA
La Plaine-sur-Mer;2016;0;0;0;02/11/2016;NA;NA
La Plaine-sur-Mer;2016;1.1111111111111123;1.1111111111111123;0;30/11/2016;NA;NA
La Plaine-sur-Mer;2017;2.7777777777777781;3.8888888888888902;0;30/01/2017;NA;NA
La Plaine-sur-Mer;2017;1.3888888888888891;5.2777777777777795;0;03/03/2017;NA;NA
La Plaine-sur-Mer;2017;10.555555555555555;15.833333333333336;0;31/03/2017;NA;NA
La Plaine-sur-Mer;2017;12.222222222222221;28.055555555555557;0;25/04/2017;NA;NA
La Plaine-sur-Mer;2017;9.4444444444444446;37.5;0;29/05/2017;NA;NA
La Plaine-sur-Mer;2017;6.666666666666667;44.166666666666664;0;27/06/2017;NA;NA
La Plaine-sur-Mer;2017;5.2777777777777777;49.444444444444443;1.1100000000000001;24/07/2017;NA;NA
La Plaine-sur-Mer;2017;0;0;0;10/10/2017;Mise en poche;NA
La Plaine-sur-Mer;2017;0;0;0;09/11/2017;NA;NA
La Plaine-sur-Mer;2017;3.9;3.9;0;06/12/2017;NA;NA
La Plaine-sur-Mer;2018;NR;NA;0;NA;NA;NA
La Plaine-sur-Mer;2018;3.6;7.5;0;30/01/2018;NA;NA
La Plaine-sur-Mer;2018;NR;NA;0;NA;NA;NA
La Plaine-sur-Mer;2018;4.9999999999999991;12.5;0;03/04/2018;NA;NA
La Plaine-sur-Mer;2018;8.6111111111111125;21.111111111111114;0;03/05/2018;NA;NA
La Plaine-sur-Mer;2018;8.3333333333333339;29.44444444444445;0;28/05/2018;Colmatage;NA
La Plaine-sur-Mer;2018;5;34.44444444444445;0;26/06/2018;Colmatage;NA
La Plaine-sur-Mer;2018;0;0;0;25/10/2018;Mise en poche;NA
La Plaine-sur-Mer;2018;3.2;3.2;0;22/11/2018;NA;NA
La Plaine-sur-Mer;2018;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2019;6.67;9.870000000000001;0;10/01/2019;NA;NA
La Plaine-sur-Mer;2019;7.2;17.07;0;18/02/2019;NA;NA
La Plaine-sur-Mer;2019;9.8699999999999992;26.939999999999998;0;19/03/2019;NA;NA
La Plaine-sur-Mer;2019;16.27;43.209999999999994;0;17/04/2019;NA;NA
La Plaine-sur-Mer;2019;10.67;53.879999999999995;0;21/05/2019;Colmatage;NA
La Plaine-sur-Mer;2019;6.4;60.279999999999994;0;19/06/2019;Colmatage;NA
La Plaine-sur-Mer;2019;3.6;63.879999999999995;0;02/07/2019;Colmatage;NA
La Plaine-sur-Mer;2019;0;0;0;29/10/2019;Mise en poche;NA
La Plaine-sur-Mer;2019;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2019;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2020;11.11;11.11;0;24/01/2020;NA;NA
La Plaine-sur-Mer;2020;4.17;15.28;0;22/02/2020;NA;NA
La Plaine-sur-Mer;2020;6.67;21.95;0;26/03/2020;NA;NA
La Plaine-sur-Mer;2020;17.5;39.450000000000003;0;24/04/2020;NA;NA
La Plaine-sur-Mer;2020;9.17;48.620000000000005;0;25/05/2020;NA;NA
La Plaine-sur-Mer;2020;6.67;55.290000000000006;0;25/06/2020;Colmatage;NA
La Plaine-sur-Mer;2020;1.1100000000000001;56.400000000000006;0;07/07/2020;Colmatage;NA
La Plaine-sur-Mer;2020;0;0;0;16/10/2020;Mise en poche;NA
La Plaine-sur-Mer;2020;0;0;NA;17/11/2020;NA;NA
La Plaine-sur-Mer;2020;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2021;2.2222222222222219;2.2222222222222219;0.65332132818001853;13/01/2021;NA;NA
La Plaine-sur-Mer;2021;2.2222222222222219;4.4444444444444438;0.65332132818001853;04/03/2021;NA;NA
La Plaine-sur-Mer;2021;8.3333333333333321;12.777777777777775;1.9599639845400536;01/04/2021;NA;NA
La Plaine-sur-Mer;2021;12.77777777777778;25.555555555555557;5.3476655445416972;28/04/2021;NA;NA
La Plaine-sur-Mer;2021;6.3888888888888902;31.944444444444446;2.6132853127200701;27/05/2021;NA;NA
La Plaine-sur-Mer;2021;7.2222222222222214;39.166666666666671;2.8477616471964686;28/06/2021;NA;NA
La Plaine-sur-Mer;2021;0;0;0;24/09/2021;Mise en poche;NA
La Plaine-sur-Mer;2021;0;0;0;22/10/2021;NA;NA
La Plaine-sur-Mer;2021;1.5;1.5;0;22/11/2021;NA;NA
La Plaine-sur-Mer;2021;0;1.5;0;20/12/2021;NA;NA
La Plaine-sur-Mer;2021;0;1.5;0;18/01/2022;NA;NA
La Plaine-sur-Mer;2022;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2022;0.5;2;0;04/03/2022;NA;NA
La Plaine-sur-Mer;2022;8.5;10.5;0;02/04/2022;NA;NA
La Plaine-sur-Mer;2022;10.5;21;0;13/05/2022;NA;NA
La Plaine-sur-Mer;2022;5;26;0;15/06/2022;NA;NA
La Plaine-sur-Mer;2022;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2022;4.5;30.5;0;01/08/2022;Colmatage;NA
La Plaine-sur-Mer;2022;0;30.5;0;29/09/2022;Colmatage;NA
La Plaine-sur-Mer;2022;0;0;0;29/09/2022;Mise en poche;NA
La Plaine-sur-Mer;2022;0;0;0;11/11/2022;NA;NA
La Plaine-sur-Mer;2022;0.5;0.5;0;09/12/2022;NA;NA
La Plaine-sur-Mer;2022;NR;NR;NR;NA;NA;NA
La Plaine-sur-Mer;2023;1;1.5;0;26/01/2023;NA;NA
La Plaine-sur-Mer;2023;0;1.5;0;21/02/2023;NA;NA
La Plaine-sur-Mer;2023;2;3.5;0;22/03/2023;NA;NA
La Plaine-sur-Mer;2023;0;3.5;0;19/04/2023;NA;NA
La Plaine-sur-Mer;2023;6.5;10;0;20/05/2023;NA;NA
La Plaine-sur-Mer;2023;0;10;0;20/06/2023;NA;NA
La Plaine-sur-Mer;2023;3.0000000000000018;13.000000000000002;0;04/08/2023;Colmatage;NA
La Plaine-sur-Mer;2023;0;13.000000000000002;0;02/09/2023;Colmatage;NA
La Northe;2016;0;0;0;22/09/2016;Mise en poche;NA
La Northe;2016;0;0;0;14/10/2016;NA;NA
La Northe;2016;0;0;0;14/11/2016;NA;NA
La Northe;2016;0;0;0;12/12/2016;NA;NA
La Northe;2017;0.55555555555555558;0.55555555555555558;0;17/01/2017;NA;NA
La Northe;2017;2.2222222222222219;2.7777777777777777;0;15/02/2017;NA;NA
La Northe;2017;2.2222222222222223;5;0;10/03/2017;NA;NA
La Northe;2017;13.611111111111112;18.611111111111114;0;10/04/2017;NA;NA
La Northe;2017;10;28.611111111111114;0;09/05/2017;NA;NA
La Northe;2017;10.277777777777779;38.888888888888893;0;23/06/2017;NA;NA
La Northe;2017;2.5;41.388888888888893;1.1100000000000001;24/07/2017;NA;NA
La Northe;2017;0;0;0;24/10/2017;Mise en poche;NA
La Northe;2017;0;0;0;15/11/2017;NA;NA
La Northe;2017;2.2200000000000002;2.2200000000000002;0;18/12/2017;NA;NA
La Northe;2018;NR;NR;NR;NA;NA;NA
La Northe;2018;1.1111111111111112;3.3311111111111114;0;16/02/2018;NA;NA
La Northe;2018;4.166666666666667;7.4977777777777783;0;22/03/2018;NA;NA
La Northe;2018;13.888888888888888;21.386666666666667;0;19/04/2018;NA;NA
La Northe;2018;14.444444444444443;35.831111111111113;0;18/05/2018;NA;NA
La Northe;2018;10.277777777777777;46.108888888888892;0;26/06/2018;Colmatage;NA
La Northe;2018;0;0;0;29/10/2018;Mise en poche;NA
La Northe;2018;0;0;0;28/11/2018;NA;NA
La Northe;2018;NR;NR;NR;NA;NA;NA
La Northe;2019;0.53;0.53;0;09/01/2019;NA;NA
La Northe;2019;4.7300000000000004;5.2600000000000007;0;21/02/2019;NA;NA
La Northe;2019;15.53;20.79;0;23/03/2019;NA;NA
La Northe;2019;12.8;33.590000000000003;0;18/04/2019;NA;NA
La Northe;2019;10.67;44.260000000000005;0;23/05/2019;NA;NA
La Northe;2019;2.13;46.390000000000008;0;20/06/2019;Colmatage;NA
La Northe;2019;1.6;47.990000000000009;0;03/07/2019;Colmatage;NA
La Northe;2019;0;0;0;11/10/2019;Mise en poche;NA
La Northe;2019;1.39;1.39;0;14/11/2019;NA;NA
La Northe;2019;3.89;5.28;0;16/12/2019;NA;NA
